model,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,developing_precision,developing_recall,developing_f1,developing_support,flowering_precision,flowering_recall,flowering_f1,flowering_support,fruiting_precision,fruiting_recall,fruiting_f1,fruiting_support,seeding_precision,seeding_recall,seeding_f1,seeding_support
Model A (ResNet-only),0.95625,0.9395021645021645,0.963095238095238,0.9491618648507072,0.9569669984284965,0.9761904761904762,1.0,0.9879518072289156,41.0,0.9818181818181818,0.9,0.9391304347826087,60.0,0.8,0.9523809523809523,0.8695652173913043,21.0,1.0,1.0,1.0,38.0
Model B (LPF-only),0.68125,0.5532108721624851,0.582520325203252,0.5532302664655606,0.6295107466063349,0.7037037037037037,0.4634146341463415,0.5588235294117647,41.0,0.5591397849462365,0.8666666666666667,0.6797385620915033,60.0,0.0,0.0,0.0,21.0,0.95,1.0,0.9743589743589743,38.0
Model C (Fused),0.95,0.9330357142857143,0.9511904761904761,0.9408576836079952,0.9506339149702256,0.9761904761904762,1.0,0.9879518072289156,41.0,0.9642857142857143,0.9,0.9310344827586207,60.0,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0,1.0,1.0,1.0,38.0
